物种代码,物种中文名,科学学名,观测地名称,观测时间,纬度,经度,数量,省份代码,检查表ID
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,南海子公园 (Nanhaizi Park),2025-04-23 13:16,39.777136,116.4605969,31,CN-11,S228418301
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,浐灞国家湿地公园 (Chan Ba National Wetland Park),2025-04-23 16:25,34.4226751,109.000855,11,CN-61,S228424806
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,汝河国家湿地公园,2025-04-23 17:30,34.130499,112.854229,1,CN-41,S228479765
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,隆宝国家级自然保护区 (Longbao NNR),2025-04-24 09:00,33.1998989,96.5299215,553,CN-63,S228903850
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,珠江公园 (Zhujiang Park),2025-04-24 09:33,23.1200747,113.3400249,4,CN-44,S229909449
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,"米林—错那, Shannan CN-Tibet 28.06558, 91.95195",2025-04-24 14:59,28.065583,91.951948,0,CN-54,S230333059
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,南海子公园 (Nanhaizi Park),2025-04-24 15:11,39.777136,116.4605969,1,CN-11,S228820807
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,南海子公园 (Nanhaizi Park),2025-04-24 15:11,39.777136,116.4605969,15,CN-11,S228820807
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,南海子公园 (Nanhaizi Park),2025-04-24 15:11,39.777136,116.4605969,1,CN-11,S228820807
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,汝河国家湿地公园,2025-04-24 17:30,34.130499,112.854229,1,CN-41,S228825876
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,乐活中堤 (Lehuo Zhongdi),2025-04-25 09:00,39.8074826,116.2394272,1,CN-11,S257034038
gragoo,灰雁 (Graylag Goose),Anser anser,奥林匹克森林公园南园 (Olympic Forest Park South),2025-04-25 09:39,40.0173836,116.3938028,3,CN-11,S229074497
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,花湖 (Flower Lake),2025-04-25 16:34,33.9145052,102.8158266,12,CN-51,S229108814
gragoo,灰雁 (Graylag Goose),Anser anser,花湖 (Flower Lake),2025-04-25 16:34,33.9145052,102.8158266,35,CN-51,S229108814
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,南海子公园 (Nanhaizi Park),2025-04-25 16:37,39.777136,116.4605969,14,CN-11,S229221119
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,"21号 科苑路, 大庆市, 黑龙江省, CN (46.649, 124.856)",2025-04-26 07:16,46.6492302,124.8560836,100,CN-23,S229380839
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,南海子公园 (Nanhaizi Park),2025-04-26 08:00,39.777136,116.4605969,1,CN-11,S275348523
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,海流水库 (Hailiu Reservoir),2025-04-26 08:30,40.6679402,111.3907742,1,CN-15,S229992189
gragoo,灰雁 (Graylag Goose),Anser anser,哈素海 (Hasu Lake),2025-04-26 13:00,40.6224734,110.9538508,1,CN-15,S230004181
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,顺义新城滨河森林公园 (Shunyi Riverside Forest Park),2025-04-26 14:21,40.102895,116.7278564,3,CN-11,S229490567
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,昌平新城滨河森林公园 (Changping City Riverside Forest Park),2025-04-26 15:00,40.2040565,116.266447,1,CN-11,S283195208
gragoo,灰雁 (Graylag Goose),Anser anser,黄河三角洲自然保护区--大汶流管理站 (Yellow River Delta NNR--Dawenliu Station),2025-04-26 16:52,37.7590434,118.9921687,10,CN-37,S229467199
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,南汇新城春花秋色公园 (Nanhui Four-Season Eco-Park),2025-04-26 16:58,30.8809742,121.9451441,1,CN-31,S229480253
gragoo,灰雁 (Graylag Goose),Anser anser,沙河水库--巩华城半岛 (Shahe Reservoir--Gonghuacheng Peninsula),2025-04-26 21:29,40.132575,116.2998359,1,CN-11,S230019818
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,沙河水库--巩华城半岛 (Shahe Reservoir--Gonghuacheng Peninsula),2025-04-26 21:29,40.132575,116.2998359,6,CN-11,S230019818
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,沙城湿地 (Shacheng Wetlands),2025-04-27 06:00,40.3708803,115.4655815,1,CN-13,S230376676
gragoo,灰雁 (Graylag Goose),Anser anser,沙河水库--北沙河 (Shahe Reservoir--North Canal [Beishahe]),2025-04-27 09:58,40.1355614,116.2845956,1,CN-11,S229856516
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,白浮泉公园,2025-04-27 14:02,40.202141,116.263387,3,CN-11,S229860054
gragoo,灰雁 (Graylag Goose),Anser anser,流花湖公园 (Liuhua Lake Park),2025-04-27 14:59,23.1358916,113.2511473,1,CN-44,S277792999
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,流花湖公园 (Liuhua Lake Park),2025-04-27 14:59,23.1358916,113.2511473,2,CN-44,S277792999
gragoo,灰雁 (Graylag Goose),Anser anser,奥林匹克森林公园南园--奥海西侧 (Olympic Forest Park South--Aohai West),2025-04-28 15:40,40.0152176,116.3882601,1,CN-11,S283195274
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,昌平新城滨河森林公园 (Changping City Riverside Forest Park),2025-04-28 16:07,40.2040565,116.266447,1,CN-11,S230359897
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,珠江公园 (Zhujiang Park),2025-04-28 17:11,23.1200747,113.3400249,3,CN-44,S235674352
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,沙河水库--北岸 (Shahe Reservoir--North Shore),2025-04-28 17:48,40.1361478,116.3135111,1,CN-11,S230383606
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,"盘锦市, 辽宁省, CN (40.857, 121.576)",2025-04-28 18:40,40.8568862,121.5757937,2,CN-21,S230374213
gragoo,灰雁 (Graylag Goose),Anser anser,锡林郭勒盟,2025-04-29 07:00,43.9577,116.05439,0,CN-15,S293065292
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,锦城公园 (Jincheng Park),2025-04-29 10:14,30.57081,104.058352,1,CN-51,S230678116
gragoo,灰雁 (Graylag Goose),Anser anser,巩华城半岛（北沙河南岸）,2025-04-29 12:40,40.13746,116.30048,2,CN-11,S290278372
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,"Menyuan, Haibei CN-Qinghai 37.31438, 101.81702",2025-04-29 15:34,37.314379,101.817016,2,CN-63,S230711556
gragoo,灰雁 (Graylag Goose),Anser anser,洱源西湖 (Er'yuan West Lake),2025-04-29 18:41,26.0125849,100.0453614,2,CN-53,S230794910
gragoo,灰雁 (Graylag Goose),Anser anser,Zhongzaizi,2025-04-29 20:10,47.0719322,87.2476826,6,CN-65,S313488588
gragoo,灰雁 (Graylag Goose),Anser anser,"SW Ulungur Lake , Altay, Xinjiang, 0 (47.035, 87.328)",2025-04-30 10:26,47.0345644,87.3278896,9,CN-65,S231046874
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,流花湖公园 (Liuhua Lake Park),2025-04-30 12:04,23.1358916,113.2511473,1,CN-44,S231053932
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,奥林匹克森林公园南园 (Olympic Forest Park South),2025-04-30 13:00,40.0173836,116.3938028,2,CN-11,S301909181
gragoo,灰雁 (Graylag Goose),Anser anser,奥林匹克森林公园南园 (Olympic Forest Park South),2025-04-30 13:00,40.0173836,116.3938028,10,CN-11,S301909181
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,朝阳公园 (Chaoyang Park),2025-04-30 13:47,39.9395667,116.4792716,1,CN-11,S231110944
gragoo,灰雁 (Graylag Goose),Anser anser,查干湖风景区 (Chagan Lake Scenic Area),2025-05-01 07:00,45.2994148,124.2838003,2,CN-22,S259544604
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,查干湖风景区 (Chagan Lake Scenic Area),2025-05-01 07:00,45.2994148,124.2838003,1,CN-22,S259544604
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,锡林浩特水库北侧,2025-05-01 09:00,43.86852,116.10628,0,CN-15,S293065291
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,世纪公园 (Century Park),2025-05-01 10:18,31.214967,121.5496015,1,CN-31,S231600127
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,哈素海 (Hasu Lake),2025-05-01 16:00,40.6224734,110.9538508,1,CN-15,S308757803
gragoo,灰雁 (Graylag Goose),Anser anser,哈素海 (Hasu Lake),2025-05-01 16:00,40.6224734,110.9538508,4,CN-15,S308757803
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,青海湖--二郎剑景区 (Qinghai Lake--Er'langjian Scenic Area),2025-05-01 16:25,36.6516443,100.4765122,2,CN-63,S231485273
gragoo,灰雁 (Graylag Goose),Anser anser,翠湖国家城市湿地公园,2025-05-01 19:52,40.1008016,116.1829405,0,CN-11,S312284386
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,翠湖国家城市湿地公园,2025-05-01 19:52,40.1008016,116.1829405,0,CN-11,S312284386
gragoo,灰雁 (Graylag Goose),Anser anser,奥林匹克森林公园 (Olympic Forest Park),2025-05-02 08:30,40.0225917,116.3919748,0,CN-11,S231981163
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,沙河水库--巩华城半岛 (Shahe Reservoir--Gonghuacheng Peninsula),2025-05-02 09:58,40.132575,116.2998359,1,CN-11,S231823307
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,若尔盖县 [请用更详细的热点] (Zoigê County [general area--please use more specific hotspots]),2025-05-02 11:30,33.5776346,102.9627299,2,CN-51,S231999702
gragoo,灰雁 (Graylag Goose),Anser anser,G217-胜利路湿地 (G217 & Shengli Rd Wetlands),2025-05-02 11:45,45.557195,84.954688,10,CN-65,S232037156
gragoo,灰雁 (Graylag Goose),Anser anser,哈素海 (Hasu Lake),2025-05-02 14:00,40.6224734,110.9538508,1,CN-15,S308757804
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,哈素海 (Hasu Lake),2025-05-02 14:00,40.6224734,110.9538508,1,CN-15,S308757804
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,昌平新城滨河森林公园 (Changping City Riverside Forest Park),2025-05-02 21:30,40.2040565,116.266447,30,CN-11,S234446993
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,香格里拉高山植物园,2025-05-03 08:00,27.896451,99.639203,5,CN-53,S260722569
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,奥林匹克森林公园南园 (Olympic Forest Park South),2025-05-03 11:50,40.0173836,116.3938028,4,CN-11,S233676511
gragoo,灰雁 (Graylag Goose),Anser anser,奥林匹克森林公园南园 (Olympic Forest Park South),2025-05-03 11:50,40.0173836,116.3938028,10,CN-11,S233676511
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,奥林匹克森林公园南园 (Olympic Forest Park South),2025-05-03 14:15,40.0173836,116.3938028,1,CN-11,S233029058
gragoo,灰雁 (Graylag Goose),Anser anser,花湖 (Flower Lake),2025-05-03 15:16,33.9145052,102.8158266,4,CN-51,S232316408
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,花湖 (Flower Lake),2025-05-03 17:00,33.9145052,102.8158266,0,CN-51,S246312663
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,南汇东滩 (Nanhui Dongtan),2025-05-04 06:00,30.918356,121.9774164,3,CN-31,S234220620
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,屯头村 (Tuntou Village),2025-05-04 07:33,38.185437,114.331233,1,CN-13,S232756097
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,越秀公园 (Yuexiu Park),2025-05-04 14:54,23.14149,113.26555,2,CN-44,S240779964
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,大运河森林公园 (Grand Canal Forest Park),2025-05-04 15:08,39.8662135,116.7478563,1,CN-11,S232842940
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,官庄公园 (Guanzhuang Park),2025-05-04 15:17,39.8799075,116.5084191,1,CN-11,S232812395
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,沙城湿地 (Shacheng Wetlands),2025-05-05 04:30,40.3708803,115.4655815,1,CN-13,S233643174
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,若尔盖,2025-05-05 08:08,33.550501,102.995842,2,CN-51,S233302287
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,"丽江黑龙潭公园 (Heilongtan Park, Lijiang)",2025-05-05 15:00,26.8888538,100.2353034,2,CN-53,S233501555
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,奥林匹克森林公园 (Olympic Forest Park),2025-05-05 15:24,40.0225917,116.3919748,3,CN-11,S234038872
gragoo,灰雁 (Graylag Goose),Anser anser,奥林匹克森林公园 (Olympic Forest Park),2025-05-05 15:24,40.0225917,116.3919748,2,CN-11,S234038872
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,奥林匹克森林公园 (Olympic Forest Park),2025-05-05 15:24,40.0225917,116.3919748,7,CN-11,S234038872
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,西乌珠穆沁旗巴彦花镇高日罕罕乌拉,2025-05-06 08:00,44.83912,118.35049,0,CN-15,S293065434
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,北京动物园 (Beijing Zoo),2025-05-06 17:37,39.9408424,116.3336412,1,CN-11,S233718547
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,北京动物园 (Beijing Zoo),2025-05-06 17:37,39.9408424,116.3336412,1,CN-11,S233718547
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,南海子公园 (Nanhaizi Park),2025-05-07 14:03,39.777136,116.4605969,1,CN-11,S283195380
gragoo,灰雁 (Graylag Goose),Anser anser,南海子公园 (Nanhaizi Park),2025-05-07 14:03,39.777136,116.4605969,2,CN-11,S283195380
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,玉渊潭公园 (Yuyuantan Park),2025-05-07 14:10,39.9169675,116.3173091,2,CN-11,S234081959
gragoo,灰雁 (Graylag Goose),Anser anser,大黑河（科尔沁路八拜桥段）,2025-05-07 15:15,40.7694742,111.7906626,1,CN-15,S308757778
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,海流水库 (Hailiu Reservoir),2025-05-08 08:45,40.6679402,111.3907742,4,CN-15,S308757491
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,海流水库 (Hailiu Reservoir),2025-05-08 08:45,40.6679402,111.3907742,4,CN-15,S308757491
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,"Amdo, Nagqu CN-Xizang Zizhiqu (32.0194,91.5303)",2025-05-08 11:00,32.019384,91.530316,15,CN-54,S234531693
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,"翠湖湿地公园，北京市, 北京市, CN (40.104, 116.183)",2025-05-08 13:01,40.1043261,116.1828021,2,CN-11,S235529988
gragoo,灰雁 (Graylag Goose),Anser anser,额济纳旗-居延海,2025-05-08 16:23,42.1683383,101.0807367,20,CN-15,S234528072
gragoo,灰雁 (Graylag Goose),Anser anser,哈素海 (Hasu Lake),2025-05-09 08:25,40.6224734,110.9538508,12,CN-15,S308757799
gragoo,灰雁 (Graylag Goose),Anser anser,东山宾馆,2025-05-09 12:27,39.831881,119.521213,1,CN-13,S234851056
gragoo,灰雁 (Graylag Goose),Anser anser,拉市海--南岸 (Lashihai Lake--South Shore),2025-05-09 12:30,26.8644874,100.1309038,1,CN-53,S234998853
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,沙河水库--巩华城半岛 (Shahe Reservoir--Gonghuacheng Peninsula),2025-05-09 13:03,40.132575,116.2998359,23,CN-11,S234885893
gragoo,灰雁 (Graylag Goose),Anser anser,北戴河--鸽子窝公园 (Beidaihe--Dove Nest Park),2025-05-10 08:27,39.8359033,119.5201085,1,CN-13,S235987893
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,北戴河--鸽子窝公园 (Beidaihe--Dove Nest Park),2025-05-10 08:27,39.8359033,119.5201085,1,CN-13,S235987893
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,北戴河--鸽子窝公园 (Beidaihe--Dove Nest Park),2025-05-10 08:27,39.8359033,119.5201085,1,CN-13,S235987893
gragoo,灰雁 (Graylag Goose),Anser anser,"贝力克牧场, 锡林郭勒盟 CN-内蒙古自治区 43.63537, 116.13951",2025-05-10 11:54,43.63537,116.139515,12,CN-15,S235442261
gragoo,灰雁 (Graylag Goose),Anser anser,奥林匹克森林公园南园--奥海西侧 (Olympic Forest Park South--Aohai West),2025-05-10 15:50,40.0152176,116.3882601,6,CN-11,S235320119
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,奥林匹克森林公园南园--奥海西侧 (Olympic Forest Park South--Aohai West),2025-05-10 15:50,40.0152176,116.3882601,30,CN-11,S235320119
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,沙河水库--巩华城半岛 (Shahe Reservoir--Gonghuacheng Peninsula),2025-05-11 07:30,40.132575,116.2998359,1,CN-11,S236169579
gragoo,灰雁 (Graylag Goose),Anser anser,G217-胜利路湿地 (G217 & Shengli Rd Wetlands),2025-05-11 09:00,45.557195,84.954688,0,CN-65,S237340045
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,奥林匹克森林公园南园--奥海西侧 (Olympic Forest Park South--Aohai West),2025-05-11 14:42,40.0152176,116.3882601,1,CN-11,S236091276
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,南海子公园 (Nanhaizi Park),2025-05-11 15:05,39.777136,116.4605969,0,CN-11,S236130585
gragoo,灰雁 (Graylag Goose),Anser anser,阿日宝勒嘎芒和,2025-05-11 18:29,44.215697,120.226088,10,CN-15,S236205717
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,阿日宝勒嘎芒和,2025-05-11 18:29,44.215697,120.226088,35,CN-15,S236205717
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,阿日宝勒嘎芒和,2025-05-11 18:29,44.215697,120.226088,2,CN-15,S236205717
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,宗角禄康公园 (Dzongyab Lukhang Park),2025-05-11 18:39,29.657358,91.119976,1,CN-54,S236168354
gragoo,灰雁 (Graylag Goose),Anser anser,奥林匹克森林公园南园--叠水花台 (Olympic Forest Park South--Dieshui Huatai),2025-05-11 18:59,40.0180208,116.3833096,1,CN-11,S236150084
gragoo,灰雁 (Graylag Goose),Anser anser,阿日宝勒嘎芒和,2025-05-12 05:57,44.215697,120.226088,5,CN-15,S236724683
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,阿日宝勒嘎芒和,2025-05-12 05:57,44.215697,120.226088,0,CN-15,S236724683
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,沙河水库--巩华城半岛 (Shahe Reservoir--Gonghuacheng Peninsula),2025-05-12 06:38,40.132575,116.2998359,1,CN-11,S236720428
gragoo,灰雁 (Graylag Goose),Anser anser,奥林匹克森林公园南园 (Olympic Forest Park South),2025-05-12 07:14,40.0173836,116.3938028,2,CN-11,S236711179
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,银滩湿地公园 (Yintan Wetland Park),2025-05-12 10:50,36.0853965,103.7099358,5,CN-62,S236754210
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,奥林匹克森林公园南园 (Olympic Forest Park South),2025-05-12 11:04,40.0173836,116.3938028,1,CN-11,S236711502
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,南海子公园 (Nanhaizi Park),2025-05-12 12:28,39.777136,116.4605969,5,CN-11,S236824554
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,"丽江黑龙潭公园 (Heilongtan Park, Lijiang)",2025-05-12 15:00,26.8888538,100.2353034,2,CN-53,S236970071
gragoo,灰雁 (Graylag Goose),Anser anser,柴窝堡湖国家湿地公园 (Chaiwopu Lake National Wetland Park),2025-05-12 18:00,43.5275809,87.8983101,10,CN-65,S237652863
gragoo,灰雁 (Graylag Goose),Anser anser,圆明园 (Old Summer Palace [Yuanming Yuan]),2025-05-13 13:35,40.007867,116.3006421,2,CN-11,S237201318
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,圆明园 (Old Summer Palace [Yuanming Yuan]),2025-05-13 13:35,40.007867,116.3006421,2,CN-11,S237201318
gragoo,灰雁 (Graylag Goose),Anser anser,向海国家级自然保护区 (Xianghai NNR),2025-05-13 13:49,45.0228506,122.3481574,10,CN-22,S237314615
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,向海国家级自然保护区 (Xianghai NNR),2025-05-13 13:49,45.0228506,122.3481574,20,CN-22,S237314615
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,向海国家级自然保护区 (Xianghai NNR),2025-05-13 13:49,45.0228506,122.3481574,2,CN-22,S237314615
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,隆宝国家级自然保护区 (Longbao NNR),2025-05-13 14:30,33.1998989,96.5299215,200,CN-63,S237247720
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,向海国家级自然保护区 (Xianghai NNR),2025-05-14 05:47,45.0228506,122.3481574,1,CN-22,S237564601
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,奥林匹克森林公园 (Olympic Forest Park),2025-05-14 06:33,40.0225917,116.3919748,1,CN-11,S237594121
gragoo,灰雁 (Graylag Goose),Anser anser,奥林匹克森林公园 (Olympic Forest Park),2025-05-14 06:33,40.0225917,116.3919748,2,CN-11,S237594121
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,奥林匹克森林公园 (Olympic Forest Park),2025-05-14 06:33,40.0225917,116.3919748,11,CN-11,S237594121
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,北戴河--鸽子窝公园 (Beidaihe--Dove Nest Park),2025-05-14 09:32,39.8359033,119.5201085,2,CN-13,S244842452
gragoo,灰雁 (Graylag Goose),Anser anser,"Baicheng, Jilin, CN (45.02, 122.336)",2025-05-14 11:26,45.0199376,122.3362146,2,CN-22,S237748287
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,"XU13, A Ba Zang Zu Qiang Zu Zi Zhi Zhou, Si Chuan Sheng, CN (Lago Mucuogan y alrededores)",2025-05-14 14:16,33.9975673,102.7448736,5,CN-51,S237736225
gragoo,灰雁 (Graylag Goose),Anser anser,"XU13, A Ba Zang Zu Qiang Zu Zi Zhi Zhou, Si Chuan Sheng, CN (Lago Mucuogan y alrededores)",2025-05-14 14:16,33.9975673,102.7448736,0,CN-51,S237736225
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,"玉树藏族自治州, 青海省, CN (33.361, 97.434)嘉塘草原",2025-05-14 17:00,33.3605251,97.4339951,50,CN-63,S237800593
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,怀柔水库 (Huairou Reservoir),2025-05-15 04:30,40.3200178,116.610117,1,CN-11,S238002095
gwfgoo,白额雁 (Greater White-fronted Goose),Anser albifrons,野鸭湖 (Wild Duck Lake),2025-05-15 05:47,40.4095749,115.8468175,1,CN-11,S238000333
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,野鸭湖 (Wild Duck Lake),2025-05-15 05:47,40.4095749,115.8468175,3,CN-11,S238000333
gragoo,灰雁 (Graylag Goose),Anser anser,北戴河-大潮坪（Beidaihe Datongping ）,2025-05-15 06:02,39.836936,119.511715,2,CN-13,S243725487
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,北戴河-大潮坪（Beidaihe Datongping ）,2025-05-15 06:02,39.836936,119.511715,2,CN-13,S243725487
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,"S209, A Ba Zang Zu Qiang Zu Zi Zhi Zhou, Si Chuan Sheng, CN (Longragke Estepas)",2025-05-15 08:26,33.477412,102.6626327,3,CN-51,S238918839
gragoo,灰雁 (Graylag Goose),Anser anser,奥林匹克森林公园 (Olympic Forest Park),2025-05-15 08:49,40.0225917,116.3919748,2,CN-11,S238041507
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,奥林匹克森林公园 (Olympic Forest Park),2025-05-15 08:49,40.0225917,116.3919748,10,CN-11,S238041507
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,"玉树藏族自治州, 青海省, CN (33.361, 97.434)嘉塘草原",2025-05-15 12:26,33.3605251,97.4339951,10,CN-63,S238086340
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,"莲花圣地公园 (Lotus Park, Mêdog)",2025-05-15 17:28,29.325747,95.3318857,1,CN-54,S238390457
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,"霍营(40.08, 116.387)",2025-05-16 05:05,40.0800771,116.38726,12,CN-11,S238455709
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,官庄公园 (Guanzhuang Park),2025-05-16 05:30,39.8799075,116.5084191,1,CN-11,S238440794
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,沙河水库--巩华城半岛 (Shahe Reservoir--Gonghuacheng Peninsula),2025-05-17 06:25,40.132575,116.2998359,34,CN-11,S238982809
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,"莲花圣地公园 (Lotus Park, Mêdog)",2025-05-17 09:27,29.325747,95.3318857,1,CN-54,S238987107
gragoo,灰雁 (Graylag Goose),Anser anser,沙城湿地 (Shacheng Wetlands),2025-05-17 13:30,40.3708803,115.4655815,1,CN-13,S239606604
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,沙城湿地 (Shacheng Wetlands),2025-05-17 13:30,40.3708803,115.4655815,4,CN-13,S239606604
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,沙城湿地 (Shacheng Wetlands),2025-05-17 13:30,40.3708803,115.4655815,1,CN-13,S239606604
gragoo,灰雁 (Graylag Goose),Anser anser,G217-胜利路湿地 (G217 & Shengli Rd Wetlands),2025-05-17 19:40,45.557195,84.954688,0,CN-65,S289341205
gragoo,灰雁 (Graylag Goose),Anser anser,辉河湿地,2025-05-18 07:00,48.9264858,119.6896903,30,CN-15,S242261092
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,辉河湿地,2025-05-18 07:00,48.9264858,119.6896903,15,CN-15,S242261092
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,"莲花圣地公园 (Lotus Park, Mêdog)",2025-05-18 07:32,29.325747,95.3318857,1,CN-54,S239461876
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,官庄公园 (Guanzhuang Park),2025-05-18 07:57,39.8799075,116.5084191,1,CN-11,S239571388
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,野鸭湖 (Wild Duck Lake),2025-05-18 11:38,40.4095749,115.8468175,3,CN-11,S239529824
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,小滦河湿地公园 (Xiaoluanhe Wetland Park),2025-05-18 13:47,42.1560574,116.9847036,2,CN-13,S239513550
